transaction_id,sender,receiver,amount,timestamp
TX001,ACC_A,ACC_B,5000,2024-01-01 10:00:00
TX002,ACC_B,ACC_C,4900,2024-01-01 10:05:00
TX003,ACC_C,ACC_A,4800,2024-01-01 10:10:00
TX004,ACC_D,ACC_E,200,2024-01-02 09:00:00
TX005,ACC_D,ACC_F,300,2024-01-02 09:01:00
TX006,ACC_D,ACC_G,250,2024-01-02 09:02:00
TX007,ACC_D,ACC_H,180,2024-01-02 09:03:00
TX008,ACC_D,ACC_I,220,2024-01-02 09:04:00
TX009,ACC_J,ACC_K,150000,2024-01-03 14:00:00
TX010,ACC_K,ACC_L,149000,2024-01-03 14:30:00
TX011,ACC_L,ACC_M,100,2024-01-04 08:00:00
TX012,ACC_M,ACC_N,200,2024-01-04 08:01:00
TX013,ACC_N,ACC_O,150,2024-01-04 08:02:00
TX014,ACC_A,ACC_D,3000,2024-01-05 11:00:00
TX015,ACC_P,ACC_Q,50000,2024-01-06 16:00:00
